INFO 2025-04-04 21:08:30,723 basehttp 8409 6165278720 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2025-04-04 21:08:30,725 basehttp 8409 12935360512 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2025-04-04 21:08:30,726 basehttp 8409 12901707776 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-04-04 21:08:30,730 basehttp 8409 12918534144 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2025-04-04 21:08:30,731 basehttp 8409 12952186880 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 304 0
INFO 2025-04-04 21:08:30,736 basehttp 8409 12969013248 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2025-04-04 21:08:30,736 basehttp 8409 12901707776 "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2025-04-04 21:08:30,750 basehttp 8409 12952186880 "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
WARNING 2025-04-04 21:08:32,468 log 8624 8157100096 Bad Request: /api/auth/logout/
INFO 2025-04-04 21:08:32,917 basehttp 8409 6165278720 "GET /api/docs/ HTTP/1.1" 200 4467
INFO 2025-04-04 21:08:32,918 basehttp 8409 6165278720 - Broken pipe from ('127.0.0.1', 64271)
INFO 2025-04-04 21:08:33,647 basehttp 8409 12901707776 "GET /api/docs/ HTTP/1.1" 200 4467
INFO 2025-04-04 21:08:34,246 basehttp 8409 12901707776 "GET /api/schema/ HTTP/1.1" 200 17317
WARNING 2025-04-04 21:08:35,580 log 8624 8157100096 Bad Request: /api/auth/password/reset/confirm/
INFO 2025-04-04 21:08:37,559 basehttp 8409 6165278720 "GET /admin/users/user/ HTTP/1.1" 302 0
INFO 2025-04-04 21:08:37,630 basehttp 8409 6165278720 "GET /admin/login/?next=/admin/users/user/ HTTP/1.1" 200 4203
INFO 2025-04-04 21:08:37,702 basehttp 8409 12918534144 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-04-04 21:08:37,705 basehttp 8409 12901707776 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-04-04 21:08:37,733 basehttp 8409 6165278720 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-04-04 21:08:37,799 basehttp 8409 12935360512 "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2025-04-04 21:08:37,872 basehttp 8409 12952186880 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-04-04 21:08:37,879 basehttp 8409 6165278720 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-04-04 21:08:37,885 basehttp 8409 12935360512 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
